size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
1800,4,2.53,1,,,,,,,,,,,,,,,
2300,4,5.32,1,,,,,,,,,,,,,,,
2500,4,6.36,1,,,,,,,,,,,,,,,
3000,4,9.47,1,,,,,,,,,,,,,,,
3200,4,12.75,1,,,,,,,,,,,,,,,
3600,4,16.57,1,,,,,,,,,,,,,,,
3800,4,18.5,1,,,,,,,,,,,,,,,
4200,4,26.86,1,,,,,,,,,,,,,,,
4500,4,31.26,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 8,impl,,,,,,,,,,,,,,,
900,8,0.53,1,,,,,,,,,,,,,,,
1000,8,0.68,1,,,,,,,,,,,,,,,
1100,8,0.84,1,,,,,,,,,,,,,,,
1200,8,1.02,1,,,,,,,,,,,,,,,
1300,8,1.21,1,,,,,,,,,,,,,,,
1400,8,1.43,1,,,,,,,,,,,,,,,
1500,8,1.65,1,,,,,,,,,,,,,,,
1800,8,2.46,1,,,,,,,,,,,,,,,
2300,8,5.17,1,,,,,,,,,,,,,,,
2500,8,6.17,1,,,,,,,,,,,,,,,
3000,8,9.2,1,,,,,,,,,,,,,,,
3200,8,12.38,1,,,,,,,,,,,,,,,
3600,8,16.08,1,,,,,,,,,,,,,,,
3800,8,17.96,1,,,,,,,,,,,,,,,
4200,8,26.09,1,,,,,,,,,,,,,,,
4500,8,30.36,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 10,impl,,,,,,,,,,,,,,,
900,10,0.53,1,,,,,,,,,,,,,,,
1000,10,0.67,1,,,,,,,,,,,,,,,
1100,10,0.84,1,,,,,,,,,,,,,,,
1200,10,1.02,1,,,,,,,,,,,,,,,
1300,10,1.21,1,,,,,,,,,,,,,,,
1400,10,1.42,1,,,,,,,,,,,,,,,
1500,10,1.64,1,,,,,,,,,,,,,,,
1800,10,2.45,1,,,,,,,,,,,,,,,
2300,10,5.15,1,,,,,,,,,,,,,,,
2500,10,6.15,1,,,,,,,,,,,,,,,
3000,10,9.17,1,,,,,,,,,,,,,,,
3200,10,12.35,1,,,,,,,,,,,,,,,
3600,10,16.05,1,,,,,,,,,,,,,,,
3800,10,17.93,1,,,,,,,,,,,,,,,
4500,10,30.29,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 12,impl,,,,,,,,,,,,,,,
900,12,0.52,1,,,,,,,,,,,,,,,
1000,12,0.67,1,,,,,,,,,,,,,,,
1100,12,0.84,1,,,,,,,,,,,,,,,
1200,12,1.01,1,,,,,,,,,,,,,,,
1300,12,1.21,1,,,,,,,,,,,,,,,
1400,12,1.42,1,,,,,,,,,,,,,,,
1500,12,1.64,1,,,,,,,,,,,,,,,
1800,12,2.45,1,,,,,,,,,,,,,,,
2300,12,5.15,1,,,,,,,,,,,,,,,
2500,12,6.15,1,,,,,,,,,,,,,,,
3000,12,9.16,1,,,,,,,,,,,,,,,
3200,12,12.34,1,,,,,,,,,,,,,,,
3600,12,16.03,1,,,,,,,,,,,,,,,
3800,12,17.92,1,,,,,,,,,,,,,,,
4200,12,26,1,,,,,,,,,,,,,,,
4500,12,30.27,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 14,impl,,,,,,,,,,,,,,,
900,14,0.52,1,,,,,,,,,,,,,,,
1000,14,0.67,1,,,,,,,,,,,,,,,
1100,14,0.84,1,,,,,,,,,,,,,,,
1200,14,1.01,1,,,,,,,,,,,,,,,
1300,14,1.21,1,,,,,,,,,,,,,,,
1400,14,1.42,1,,,,,,,,,,,,,,,
1500,14,1.64,1,,,,,,,,,,,,,,,
1800,14,2.45,1,,,,,,,,,,,,,,,
2300,14,5.15,1,,,,,,,,,,,,,,,
2500,14,6.14,1,,,,,,,,,,,,,,,
3000,14,9.16,1,,,,,,,,,,,,,,,
3200,14,12.33,1,,,,,,,,,,,,,,,
3600,14,16.03,1,,,,,,,,,,,,,,,
3800,14,17.9,1,,,,,,,,,,,,,,,
4200,14,25.99,1,,,,,,,,,,,,,,,
4500,14,30.25,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
900,1,0.82,2,,,,,900,2,0.82,0.61,0.56,0.55,0.54,0.54,0.55,,
1000,1,1.04,2,,,,,1000,2,1.04,0.78,0.72,0.7,0.69,0.69,0.7,,
1100,1,1.29,2,,,,,1100,2,1.29,0.97,0.89,0.87,0.85,0.86,0.87,,
1200,1,1.56,2,,,,,1200,2,1.56,1.17,1.08,1.06,1.03,1.04,1.05,,
1300,1,1.85,2,,,,,1300,2,1.85,1.4,1.28,1.26,1.23,1.24,1.25,,
1400,1,2.17,2,,,,,1400,2,2.17,1.64,1.51,1.47,1.44,1.45,1.46,,
1500,1,2.51,2,,,,,1500,2,2.51,1.89,1.74,1.7,1.67,1.67,1.69,,
1800,1,3.74,2,,,,,1800,2,3.74,2.82,2.59,2.54,2.49,2.5,2.53,,
2300,1,7.86,2,,,,,2300,2,7.86,5.93,5.44,5.33,5.22,5.25,5.3,,
2500,1,9.4,2,,,,,2500,2,9.4,7.07,6.5,6.36,6.24,6.26,6.33,,
3000,1,13.98,2,,,,,3000,2,13.98,10.54,9.68,9.48,9.3,9.33,9.43,,
3200,1,18.83,2,,,,,3200,2,18.83,14.19,13.04,12.76,12.51,12.56,12.7,,
3600,1,24.45,2,,,,,3600,2,24.45,18.42,16.93,16.57,16.27,16.31,16.49,,
3800,1,27.29,2,,,,,3800,2,27.29,20.59,18.94,18.51,18.16,18.21,18.42,,
4200,1,39.75,2,,,,,4200,2,39.75,29.9,27.45,26.87,26.34,26.45,26.76,,
4500,1,46.18,2,,,,,4500,2,46.18,34.78,31.95,31.27,30.67,30.8,31.16,,
,,,,,,,,,,,,,,,,,,
size,cores,time 2,impl,,,,,,,,,,,,,,,
900,2,0.61,2,,,,,,,,,,,,,,,
1000,2,0.78,2,,,,,,,,,,,,,,,
1100,2,0.97,2,,,,,,,,,,,,,,,
1200,2,1.17,2,,,,,,,,,,,,,,,
1300,2,1.4,2,,,,,,,,,,,,,,,
1400,2,1.64,2,,,,,,,,,,,,,,,
1500,2,1.89,2,,,,,,,,,,,,,,,
1800,2,2.82,2,,,,,,,,,,,,,,,
